,brand,model,color,registration_date,year,price_in_euro,power_kw,power_ps,transmission_type,fuel_type,fuel_consumption_l_100km,fuel_consumption_g_km,mileage_in_km,offer_description
167519,porsche,Porsche Cayenne,black,19-Dec,2019,76900,340,462,Automatic,Hybrid,"3,2 l/100 km",72 g/km,93950,E-Hyb./ PID / Matrix / Panorama / Kamera
167568,porsche,Porsche 718,white,19-Aug,2019,76900,268,364,Automatic,Petrol,"9,2 l/100 km",208 g/km,52000,Cayman GTS
168342,porsche,Porsche Macan,blue,23-Jan,2023,76900,195,265,Automatic,Petrol,"8,7 l/100 km",199 g/km,18000,Surround-View Panoramadach Abstandstempomat
244188,volkswagen,Volkswagen Taigo,grey,22-Nov,2022,76900,81,110,Automatic,Petrol,"4,9 l/100 km",111 g/km,11000,"R-Line 1.0 TSI DSG / Pano, Navi, Matrix"
244495,volkswagen,Volkswagen T6.1 California,red,22-Sep,2022,76900,110,150,Automatic,Diesel,,#NAME?,7000,DSG Ocean
250523,volvo,Volvo XC90,white,21-Sep,2021,76900,288,392,Automatic,Hybrid,,47 g/km,30450,T8 Recharge Inscription*STDHZG*LUFT*360°*
250996,volvo,Volvo V90,grey,23-May,2023,76900,173,235,Automatic,Diesel,"5,3 l/100 km",140 g/km,1500,Cross Country B5 Diesel AWD Ultimate Standh. AHK
20119,audi,Audi e-tron,black,21-Jul,2021,76899,370,503,Automatic,Electric,,344 km Reichweite,31200,quattro 95kWh S
42002,bmw,BMW 840,orange,21-Mar,2021,76896,245,333,Automatic,Petrol,"7,3 l/100 km",169 g/km,16231,"i Cabrio M Sportpaket/Driving/Parking/20"""
12940,audi,Audi RS6,blue,17-Jul,2017,76890,445,605,Automatic,Petrol,"9,6 l/100 km",223 g/km,54360,6 Performance 4.0 TFSI quattro Avant *AKRAPOVIC*CA
22855,audi,Audi RS Q3,white,23-Mar,2023,76890,294,400,Automatic,Petrol,"8,8 l/100 km",201 g/km,5000,Sportback 2.5TFSI *Pano|RS-Abgas|Matrix*
123549,mercedes-benz,Mercedes-Benz GLC 63 AMG,grey,19-Feb,2019,76890,375,510,Automatic,Petrol,"11,7 l/100 km",280 g/km,16810,S 4M+ Coupé RüKam+Distro+Totwink+Spur
127970,mercedes-benz,Mercedes-Benz E 300,red,22-Dec,2022,76890,195,265,Automatic,Diesel,"6,6 l/100 km",168 g/km,3500,d 4M Coupé+AMG-Line+DISTRONIC+Memory+PSD
127971,mercedes-benz,Mercedes-Benz E 300,red,22-Dec,2022,76890,195,265,Automatic,Diesel,"6,6 l/100 km",168 g/km,3500,d 4M Coupé+AMG-Line+DISTRONIC+Memory+PSD
166812,porsche,Porsche Panamera,grey,18-Aug,2018,76890,243,330,Automatic,Petrol,"2,5 l/100 km",56 g/km,136000,4 E-Hybrid
167014,porsche,Porsche 991,black,18-May,2018,76890,272,370,Automatic,Petrol,"7,5 l/100 km",172 g/km,24900,"Carrera Cabriolet (Sportabgas.-PDLS-20""S)"
168081,porsche,Porsche Macan,grey,22-Sep,2022,76890,195,265,Automatic,Petrol,"8,8 l/100 km",200 g/km,9100,New Modell*LUFT*PANO*BOSE*14W*360°CAM*20z
245610,volkswagen,Volkswagen Grand California,grey,23-Jun,2023,76890,130,177,Automatic,Diesel,"8,1 l/100 km",213 g/km,10,GRAND CALIFORNIA 600 4-SITZER+LED+ACC+NAVI+KAMERA
251049,volvo,Volvo V90 Cross Country,black,23-Mar,2023,76890,173,235,Automatic,Diesel,"5,3 l/100 km",140 g/km,2500,B5 Diesel AWD Ultimate Aut/B&W
96553,land-rover,Land Rover Defender,black,22-Mar,2022,76889,183,249,Automatic,Diesel,,#NAME?,6000,110 D250 Hard Top AHK LUFT Smart View Winterpaket
167738,porsche,Porsche 991,black,20-Feb,2020,76888,383,521,Automatic,Petrol,"12,8 l/100 km",291 g/km,1206,*Panorama*R Kam*LED*22 Zoll*
